,0,1,2,3
0,1,0,23,0.0
1,2,0,23,17.923594767246385
2,2,1,23,17.923594767246385
3,2,2,23,17.923594767246385
4,2,3,23,17.923594767246385
5,2,4,23,17.923594767246385
6,2,5,23,17.923594767246385
7,2,6,23,17.923594767246385
8,2,7,23,17.923594767246385
9,2,8,23,17.923594767246385
10,3,0,23,35.84718953449277
11,3,1,23,40.07837630072244
12,3,2,23,25.34779080631928
13,3,3,23,17.923594767246385
14,3,4,23,17.923594767246385
15,3,5,23,0.0
16,4,0,23,17.923594767246385
17,4,1,23,56.679383322374115
18,4,2,23,17.923594767246385
19,4,3,23,25.34779080631928
20,4,4,23,17.923594767246385
21,4,5,23,0.0
22,5,0,23,40.07837630072244
23,5,1,23,17.923594767246385
24,5,2,23,40.07837630072244
25,5,3,23,17.923594767246385
26,5,4,23,0.0
27,6,0,23,0.0
28,7,0,23,40.07837630072244
29,7,1,23,126.7389540315964
30,7,2,23,113.35876664474823
31,7,3,23,0.0
32,8,0,23,17.923594767246385
33,8,1,23,53.77078430173916
34,8,2,23,17.923594767246385
35,8,3,23,17.923594767246385
36,8,4,23,25.34779080631928
37,8,5,23,25.34779080631928
38,8,6,23,0.0
39,9,0,23,40.07837630072244
40,9,1,23,25.34779080631928
41,9,2,23,17.923594767246385
42,9,3,23,25.34779080631928
43,9,4,23,17.923594767246385
44,9,5,23,0.0
45,10,0,24,0.0
46,11,0,24,40.07837630072244
47,11,1,24,114.76700407607993
48,11,2,24,35.84718953449277
49,11,3,24,17.923594767246385
50,11,4,24,17.923594767246385
51,11,5,24,56.679383322374115
52,11,6,24,17.923594767246385
53,11,7,24,295.6034976644994
54,11,8,24,40.07837630072244
55,12,0,24,17.923594767246385
56,12,1,24,40.07837630072244
57,12,2,24,17.923594767246385
58,12,3,24,0.0
59,13,0,24,35.84718953449277
60,13,1,24,50.69558161263856
61,13,2,24,17.923594767246385
62,13,3,24,17.923594767246385
63,13,4,24,0.0
64,14,0,24,17.923594767246385
65,14,1,24,139.9877502219683
66,14,2,24,73.90087441612485
67,14,3,24,0.0
68,15,0,24,17.923594767246385
69,15,1,24,40.07837630072244
70,15,2,24,40.07837630072244
71,15,3,24,25.34779080631928
72,15,4,24,17.923594767246385
73,15,5,24,0.0
74,16,0,24,0.0
75,17,0,24,17.923594767246385
76,17,1,24,154.1845921425166
77,17,2,24,71.69437906898554
78,17,3,24,17.923594767246385
79,17,4,24,0.0
80,18,0,24,0.0
81,19,0,24,35.84718953449277
82,19,1,24,104.51161887051465
83,19,2,24,40.07837630072244
84,19,3,24,0.0
85,20,0,26,0.0
86,21,0,26,73.90087441612485
87,21,1,26,139.9877502219683
88,21,2,26,64.62443997394489
89,21,3,26,0.0
90,22,0,26,25.34779080631928
91,22,1,26,139.9877502219683
92,22,2,26,35.84718953449277
93,22,3,26,25.34779080631928
94,22,4,26,17.923594767246385
95,22,5,26,35.84718953449277
96,22,6,26,17.923594767246385
97,22,7,26,0.0
98,23,0,26,25.34779080631928
99,23,1,26,40.07837630072244
100,23,2,26,17.923594767246385
101,23,3,26,17.923594767246385
102,23,4,26,0.0
103,24,0,26,17.923594767246385
104,24,1,26,101.39116322527713
105,24,2,26,35.84718953449277
